,Member_number,Date,itemDescription,Transaction_id
13517,4616,01-01-2015,"['canned beer', 'hamburger meat']",T00029
4508,2211,01-01-2015,"['pastry', 'butter']",T00030
1531,1422,01-01-2015,"['turkey', 'salty snack', 'tropical fruit']",T00031
6600,2768,01-01-2015,"['salt', 'pip fruit', 'tropical fruit', 'meat', 'pot plants']",T00032
6110,2641,01-01-2015,"['other vegetables', 'frozen meals']",T00033
11532,4104,01-01-2015,"['dessert', 'soda']",T00034
7539,3026,01-01-2015,"['bottled water', 'citrus fruit', 'soda', 'tropical fruit']",T00035
10246,3751,01-01-2015,"['whole milk', 'dishes', 'whipped/sour cream', 'citrus fruit', 'frankfurter']",T00036
3889,2043,01-02-2014,"['brown bread', 'waffles']",T00037
3008,1814,01-02-2014,"['frankfurter', 'sparkling wine']",T00038
13716,4666,01-02-2014,"['dessert', 'frozen vegetables']",T00039
4888,2311,01-02-2014,"['canned beer', 'pastry']",T00040
11107,3977,01-02-2014,"['oil', 'frozen meals', 'butter milk', 'brown bread']",T00041
8112,3178,01-02-2014,"['candy', 'butter']",T00042
14433,4847,01-02-2014,"['soda', 'other vegetables']",T00043
3802,2020,01-02-2014,"['beef', 'fruit/vegetable juice']",T00044
12749,4408,01-02-2014,"['pip fruit', 'frozen fish']",T00045
9832,3641,01-02-2014,"['soft cheese', 'root vegetables']",T00046
5513,2480,01-02-2014,"['citrus fruit', 'pickled vegetables']",T00047
958,1265,01-02-2014,"['other vegetables', 'soda', 'whole milk']",T00048
12591,4364,01-02-2014,"['brown bread', 'yogurt']",T00049
5483,2472,01-02-2014,"['white bread', 'other vegetables']",T00050
1330,1365,01-02-2014,"['specialty bar', 'frozen vegetables']",T00051
10031,3692,01-02-2014,"['frozen dessert', 'misc. beverages']",T00052
14642,4907,01-02-2014,"['rolls/buns', 'whipped/sour cream', 'bottled beer']",T00053
7941,3130,01-02-2014,"['ice cream', 'yogurt']",T00054
9437,3538,01-02-2014,"['waffles', 'yogurt']",T00055
910,1248,01-02-2014,"['chicken', 'butter']",T00056
8418,3259,01-02-2014,"['dishes', 'soda']",T00057
14726,4933,01-02-2014,"['bottled water', 'hard cheese']",T00058
14482,4860,01-02-2014,"['cream cheese ', 'sugar']",T00059
11213,4014,01-02-2014,"['soda', 'shopping bags']",T00060
1943,1528,01-02-2014,"['tropical fruit', 'frozen vegetables']",T00061
6824,2828,01-02-2014,"['curd', 'meat']",T00062
12902,4450,01-02-2014,"['beef', 'condensed milk']",T00063
244,1066,01-02-2014,"['bottled beer', 'root vegetables']",T00064
3223,1870,01-02-2014,"['napkins', 'fruit/vegetable juice']",T00065
6005,2612,01-02-2015,"['pip fruit', 'tropical fruit']",T00066
9092,3455,01-02-2015,"['other vegetables', 'canned beer']",T00067
5785,2553,01-02-2015,"['tropical fruit', 'whole milk']",T00068
6583,2763,01-02-2015,"['yogurt', 'pork', 'yogurt', 'canned fish']",T00069
7234,2942,01-02-2015,"['brown bread', 'flower (seeds)', 'pork', 'oil', 'whole milk', 'waffles', 'sausage']",T00070
14916,4986,01-02-2015,"['other vegetables', 'whole milk']",T00071
12606,4369,01-02-2015,"['yogurt', 'soda']",T00072
7584,3037,01-02-2015,"['other vegetables', 'white bread', 'whole milk']",T00073
7239,2944,01-02-2015,"['sausage', 'long life bakery product', 'beef', 'processed cheese', 'cream cheese ', 'yogurt', 'tropical fruit', 'yogurt']",T00074
600,1164,01-02-2015,"['other vegetables', 'sliced cheese']",T00075
8803,3365,01-02-2015,"['root vegetables', 'canned beer', 'whole milk', 'whole milk', 'newspapers']",T00076
10593,3841,01-02-2015,"['ham', 'other vegetables']",T00077
9259,3495,01-02-2015,"['whole milk', 'pork', 'oil', 'canned beer']",T00078
12352,4304,01-02-2015,"['canned beer', 'pip fruit', 'sugar']",T00079
12741,4406,01-02-2015,"['domestic eggs', 'artif. sweetener', 'whole milk']",T00080
1970,1537,01-02-2015,"['yogurt', 'bottled water']",T00081
6664,2785,01-02-2015,"['frozen meals', 'beef']",T00082
10797,3897,01-02-2015,"['UHT-milk', 'soda']",T00083
8697,3337,01-02-2015,"['liver loaf', 'whole milk']",T00084
13725,4668,01-02-2015,"['frozen vegetables', 'other vegetables']",T00085
10291,3761,01-03-2014,"['domestic eggs', 'meat']",T00086
12241,4280,01-03-2014,"['specialty chocolate', 'margarine', 'soda']",T00087
10557,3831,01-03-2014,"['soda', 'bottled water', 'whipped/sour cream']",T00088
8301,3227,01-03-2014,"['seasonal products', 'spices', 'cat food']",T00089
7420,2991,01-03-2014,"['soda', 'root vegetables', 'waffles']",T00090
1948,1529,01-03-2014,"['soups', 'preservation products']",T00091
922,1253,01-03-2014,"['liqueur', 'pastry']",T00092
12480,4335,01-03-2014,"['canned beer', 'whole milk']",T00093
7323,2963,01-03-2014,"['bottled water', 'pickled vegetables']",T00094
5441,2459,01-03-2014,"['whipped/sour cream', 'curd']",T00095
633,1171,01-03-2014,"['whipped/sour cream', 'soda']",T00096
5511,2480,01-03-2014,"['salty snack', 'soda', 'other vegetables']",T00097
12117,4249,01-03-2014,"['shopping bags', 'canned beer']",T00098
10056,3698,01-03-2014,"['yogurt', 'shopping bags']",T00099
3342,1899,01-03-2014,"['other vegetables', 'brown bread']",T00100
8187,3197,01-03-2014,"['margarine', 'sausage', 'margarine']",T00101
12860,4440,01-03-2014,"['butter milk', 'newspapers']",T00102
7115,2910,01-03-2014,"['sugar', 'processed cheese']",T00103
12655,4382,01-03-2014,"['fruit/vegetable juice', 'spices']",T00104
3981,2065,01-03-2014,"['white bread', 'sausage']",T00105
13156,4520,01-03-2014,"['mustard', 'brown bread']",T00106
8539,3294,01-03-2014,"['root vegetables', 'other vegetables']",T00107
5722,2538,01-03-2014,"['pastry', 'berries']",T00108
8617,3313,01-03-2014,"['hard cheese', 'bottled beer']",T00109
1904,1517,01-03-2015,"['bottled beer', 'frankfurter']",T00110
14695,4924,01-03-2015,"['beef', 'whole milk', 'chewing gum']",T00111
14103,4761,01-03-2015,"['beverages', 'curd', 'other vegetables']",T00112
2542,1696,01-03-2015,"['chewing gum', 'whole milk', 'newspapers']",T00113
1068,1293,01-03-2015,"['whole milk', 'light bulbs']",T00114
13972,4726,01-03-2015,"['whole milk', 'tropical fruit']",T00115
4836,2297,01-03-2015,"['shopping bags', 'brown bread']",T00116
8091,3172,01-03-2015,"['dish cleaner', 'whipped/sour cream', 'pickled vegetables']",T00117
12520,4344,01-03-2015,"['frozen meals', 'long life bakery product', 'sausage', 'soda']",T00118
2288,1623,01-03-2015,"['pastry', 'citrus fruit']",T00119
14671,4916,01-03-2015,"['brown bread', 'detergent', 'coffee', 'hamburger meat']",T00120
8518,3289,01-03-2015,"['tropical fruit', 'soft cheese']",T00121
7320,2962,01-03-2015,"['bottled water', 'tropical fruit', 'domestic eggs']",T00122
4034,2077,01-03-2015,"['whole milk', 'beef']",T00123
3828,2028,01-03-2015,"['coffee', 'frozen vegetables']",T00124
14938,4992,01-03-2015,"['frankfurter', 'pip fruit']",T00125
9436,3538,01-03-2015,"['other vegetables', 'citrus fruit']",T00126
3465,1930,01-03-2015,"['soda', 'tropical fruit']",T00127
6109,2641,01-03-2015,"['beverages', 'fruit/vegetable juice', 'frozen fruits', 'whole milk']",T00128
6942,2860,01-03-2015,"['sausage', 'light bulbs', 'shopping bags']",T00129
13693,4661,01-03-2015,"['organic products', 'rolls/buns', 'condensed milk']",T00130
4137,2107,01-03-2015,"['sugar', 'frankfurter', 'soda', 'coffee', 'bottled beer', 'frankfurter', 'margarine', 'brown bread', 'butter']",T00131
1476,1408,01-03-2015,"['root vegetables', 'soda']",T00132
11511,4100,01-03-2015,"['whole milk', 'whipped/sour cream']",T00133
14603,4893,01-03-2015,"['berries', 'napkins']",T00134
1588,1436,01-03-2015,"['chocolate marshmallow', 'beverages']",T00135
13928,4716,01-03-2015,"['bottled beer', 'sausage']",T00136
868,1238,01-03-2015,"['margarine', 'frankfurter']",T00137
2256,1616,01-04-2014,"['prosecco', 'frankfurter']",T00138
11936,4204,01-04-2014,"['white bread', 'pastry']",T00139
3275,1883,01-04-2014,"['whole milk', 'frankfurter']",T00140
13975,4726,01-04-2014,"['whole milk', 'rolls/buns']",T00141
6112,2641,01-04-2014,"['brown bread', 'male cosmetics']",T00142
7168,2925,01-04-2014,"['oil', 'male cosmetics']",T00143
7729,3077,01-04-2014,"['root vegetables', 'domestic eggs']",T00144
11752,4157,01-04-2014,"['frozen meals', 'salty snack']",T00145
14042,4745,01-04-2014,"['soda', 'cat food']",T00146
1991,1545,01-04-2014,"['hair spray', 'brown bread']",T00147
6763,2809,01-04-2014,"['berries', 'bottled beer']",T00148
10312,3765,01-04-2014,"['whole milk', 'bottled beer', 'margarine', 'tropical fruit']",T00149
7950,3133,01-04-2014,"['yogurt', 'whipped/sour cream']",T00150
604,1165,01-04-2014,"['house keeping products', 'beef']",T00151
5711,2535,01-04-2014,"['sausage', 'rolls/buns']",T00152
4089,2092,01-04-2014,"['salty snack', 'salty snack', 'canned fish']",T00153
10547,3830,01-04-2014,"['margarine', 'domestic eggs']",T00154
7470,3007,01-04-2014,"['yogurt', 'rolls/buns']",T00155
14092,4758,01-04-2014,"['rolls/buns', 'white bread', 'bottled beer']",T00156
5502,2477,01-04-2014,"['root vegetables', 'soda']",T00157
1839,1500,01-04-2014,"['fruit/vegetable juice', 'bottled beer']",T00158
14244,4799,01-04-2014,"['frozen fish', 'dessert']",T00159
4417,2185,01-04-2014,"['flour', 'rolls/buns']",T00160
8848,3382,01-04-2014,"['yogurt', 'pastry', 'bottled beer', 'cat food']",T00161
5309,2428,01-04-2014,"['whole milk', 'soda']",T00162
4237,2138,01-04-2014,"['white bread', 'seasonal products']",T00163
6564,2760,01-04-2014,"['long life bakery product', 'domestic eggs', 'whole milk', 'rolls/buns']",T00164
8500,3284,01-04-2014,"['canned fish', 'coffee']",T00165
10995,3949,01-04-2015,"['other vegetables', 'bottled water']",T00166
571,1155,01-04-2015,"['whole milk', 'sausage', 'yogurt', 'pet care']",T00167
6292,2690,01-04-2015,"['other vegetables', 'whole milk']",T00168
11698,4144,01-04-2015,"['finished products', 'whole milk']",T00169
10010,3686,01-04-2015,"['pip fruit', 'coffee', 'soda']",T00170
7131,2914,01-04-2015,"['UHT-milk', 'rolls/buns']",T00171
9378,3523,01-04-2015,"['whole milk', 'chocolate']",T00172
8718,3344,01-04-2015,"['whole milk', 'whole milk', 'newspapers', 'rolls/buns']",T00173
1767,1483,01-04-2015,"['sausage', 'tropical fruit']",T00174
2067,1567,01-04-2015,"['pot plants', 'chewing gum']",T00175
8279,3221,01-04-2015,"['berries', 'beef']",T00176
10902,3922,01-04-2015,"['beef', 'citrus fruit', 'whole milk', 'rolls/buns']",T00177
14002,4735,01-04-2015,"['whole milk', 'curd']",T00178
5147,2381,01-04-2015,"['hamburger meat', 'whole milk']",T00179
3092,1835,01-04-2015,"['pip fruit', 'root vegetables']",T00180
8191,3200,01-04-2015,"['whole milk', 'specialty chocolate']",T00181
10112,3717,01-04-2015,"['frozen vegetables', 'fruit/vegetable juice', 'rolls/buns', 'yogurt']",T00182
2449,1664,01-04-2015,"['frankfurter', 'whole milk', 'curd', 'canned vegetables', 'whole milk']",T00183
10758,3886,01-04-2015,"['sausage', 'soda', 'butter milk', 'vinegar']",T00184
528,1144,01-04-2015,"['meat', 'whole milk']",T00185
6116,2642,01-04-2015,"['frankfurter', 'beverages']",T00186
9008,3429,01-04-2015,"['soda', 'newspapers', 'whipped/sour cream', 'hard cheese', 'other vegetables', 'coffee']",T00187
6173,2657,01-04-2015,"['pasta', 'hamburger meat', 'dessert', 'bottled water']",T00188
9702,3601,01-04-2015,"['meat', 'whole milk']",T00189
12197,4269,01-04-2015,"['frankfurter', 'dishes', 'whipped/sour cream', 'citrus fruit', 'frankfurter', 'semi-finished bread']",T00190
10640,3852,01-04-2015,"['other vegetables', 'citrus fruit']",T00191
1125,1309,01-04-2015,"['tropical fruit', 'cocoa drinks']",T00192
10201,3738,01-04-2015,"['whole milk', 'frozen vegetables', 'yogurt']",T00193
11839,4180,01-04-2015,"['brown bread', 'specialty chocolate']",T00194
543,1147,01-05-2014,"['soda', 'whole milk']",T00195
3927,2051,01-05-2014,"['flour', 'cream cheese ']",T00196
10685,3864,01-05-2014,"['other vegetables', 'cooking chocolate']",T00197
12925,4456,01-05-2014,"['specialty bar', 'soda']",T00198
14051,4747,01-05-2014,"['pastry', 'tropical fruit']",T00199
14774,4943,01-05-2014,"['finished products', 'other vegetables']",T00200
14560,4879,01-05-2014,"['dessert', 'fruit/vegetable juice']",T00201
3337,1897,01-05-2014,"['rolls/buns', 'cream cheese ']",T00202
3871,2040,01-05-2014,"['rolls/buns', 'packaged fruit/vegetables']",T00203
13363,4574,01-05-2014,"['bottled water', 'other vegetables', 'seasonal products']",T00204
6234,2674,01-05-2014,"['butter', 'root vegetables']",T00205
13562,4628,01-05-2014,"['napkins', 'whole milk', 'napkins']",T00206
5831,2565,01-05-2014,"['sliced cheese', 'sausage']",T00207
13493,4609,01-05-2014,"['spices', 'beef']",T00208
1987,1544,01-05-2014,"['other vegetables', 'semi-finished bread', 'shopping bags']",T00209
13340,4567,01-05-2014,"['red/blush wine', 'whipped/sour cream']",T00210
1718,1473,01-05-2014,"['rolls/buns', 'hamburger meat']",T00211
5477,2470,01-05-2014,"['white bread', 'red/blush wine', 'tropical fruit']",T00212
23,1004,01-05-2014,"['dish cleaner', 'cling film/bags']",T00213
13956,4721,01-05-2014,"['cream cheese ', 'semi-finished bread']",T00214
14325,4820,01-05-2015,"['pastry', 'rolls/buns', 'soda', 'chocolate', 'pip fruit']",T00215
13405,4585,01-05-2015,"['other vegetables', 'cat food', 'tropical fruit', 'beef', 'brown bread']",T00216
12938,4460,01-05-2015,"['meat', 'sliced cheese']",T00217
11586,4116,01-05-2015,"['soda', 'detergent', 'pastry']",T00218
6185,2661,01-05-2015,"['bottled water', 'tropical fruit']",T00219
12891,4447,01-05-2015,"['butter', 'rolls/buns']",T00220
8993,3424,01-05-2015,"['frankfurter', 'root vegetables']",T00221
509,1140,01-05-2015,"['waffles', 'photo/film', 'frankfurter', 'other vegetables', 'curd']",T00222
11966,4212,01-05-2015,"['other vegetables', 'tropical fruit']",T00223
12030,4225,01-05-2015,"['pip fruit', 'bottled beer']",T00224
2374,1648,01-05-2015,"['pork', 'pastry']",T00225
10941,3934,01-05-2015,"['cling film/bags', 'newspapers', 'shopping bags', 'whole milk', 'bottled beer']",T00226
3060,1827,01-05-2015,"['meat', 'whole milk']",T00227
8497,3283,01-05-2015,"['soda', 'whole milk', 'mayonnaise']",T00228
6289,2690,01-05-2015,"['other vegetables', 'white wine', 'root vegetables']",T00229
14635,4903,01-05-2015,"['chicken', 'fruit/vegetable juice']",T00230
14465,4855,01-05-2015,"['liquor', 'sweet spreads']",T00231
9491,3551,01-05-2015,"['beverages', 'packaged fruit/vegetables', 'mayonnaise', 'cereals', 'tropical fruit']",T00232
11444,4082,01-05-2015,"['whole milk', 'root vegetables']",T00233
12331,4301,01-05-2015,"['pork', 'soda', 'soft cheese', 'yogurt', 'hamburger meat', 'sausage', 'whole milk', 'chewing gum']",T00234
4675,2255,01-05-2015,"['whole milk', 'cookware', 'oil', 'tropical fruit']",T00235
12009,4221,01-06-2014,"['bottled water', 'frozen meals']",T00236
4093,2093,01-06-2014,"['napkins', 'canned vegetables']",T00237
7025,2881,01-06-2014,"['canned vegetables', 'butter milk']",T00238
7260,2949,01-06-2014,"['shopping bags', 'pork', 'other vegetables']",T00239
3192,1863,01-06-2014,"['seasonal products', 'bottled water', 'newspapers', 'bottled beer']",T00240
14531,4872,01-06-2014,"['soda', 'softener', 'domestic eggs', 'whole milk']",T00241
7865,3111,01-06-2014,"['oil', 'UHT-milk']",T00242
5134,2379,01-06-2014,"['berries', 'brown bread']",T00243
2150,1590,01-06-2014,"['newspapers', 'citrus fruit']",T00244
11054,3963,01-06-2014,"['domestic eggs', 'candy']",T00245
13841,4694,01-06-2014,"['tropical fruit', 'whipped/sour cream', 'whipped/sour cream']",T00246
3259,1879,01-06-2014,"['whole milk', 'sugar']",T00247
4692,2259,01-06-2014,"['roll products ', 'processed cheese']",T00248
6463,2735,01-06-2015,"['yogurt', 'other vegetables']",T00249
9500,3553,01-06-2015,"['domestic eggs', 'ham']",T00250
2442,1661,01-06-2015,"['sliced cheese', 'packaged fruit/vegetables', 'root vegetables', 'pip fruit']",T00251
12217,4273,01-06-2015,"['margarine', 'frozen vegetables']",T00252
14182,4783,01-06-2015,"['chewing gum', 'other vegetables', 'rolls/buns']",T00253
11066,3966,01-06-2015,"['root vegetables', 'frankfurter']",T00254
14610,4895,01-06-2015,"['specialty bar', 'tropical fruit']",T00255
13943,4719,01-06-2015,"['tropical fruit', 'pip fruit']",T00256
6648,2781,01-06-2015,"['soda', 'other vegetables']",T00257
6685,2789,01-06-2015,"['grapes', 'tropical fruit']",T00258
6632,2777,01-06-2015,"['chocolate', 'herbs']",T00259
5138,2380,01-06-2015,"['whole milk', 'pork']",T00260
9478,3548,01-06-2015,"['whole milk', 'instant coffee', 'rolls/buns']",T00261
6177,2659,01-06-2015,"['rolls/buns', 'brown bread', 'hamburger meat']",T00262
13955,4721,01-07-2014,"['specialty bar', 'processed cheese']",T00263
10299,3762,01-07-2014,"['newspapers', 'sliced cheese']",T00264
12361,4306,01-07-2014,"['misc. beverages', 'cream cheese ']",T00265
12201,4270,01-07-2014,"['nut snack', 'whole milk']",T00266
8316,3232,01-07-2014,"['dessert', 'soda']",T00267
13439,4594,01-07-2014,"['tropical fruit', 'other vegetables']",T00268
1657,1456,01-07-2014,"['hygiene articles', 'liquor']",T00269
1148,1317,01-07-2014,"['specialty cheese', 'onions']",T00270
9277,3498,01-07-2014,"['root vegetables', 'pip fruit']",T00271
2829,1770,01-07-2014,"['butter', 'mayonnaise']",T00272
14527,4870,01-07-2014,"['bottled water', 'soda']",T00273
12123,4251,01-07-2014,"['root vegetables', 'rolls/buns', 'ice cream']",T00274
21,1004,01-07-2014,"['canned beer', 'frozen fish']",T00275
11447,4082,01-07-2014,"['yogurt', 'ham']",T00276
8165,3189,01-07-2014,"['fruit/vegetable juice', 'dish cleaner']",T00277
3851,2035,01-07-2014,"['rice', 'jam']",T00278
10595,3842,01-07-2015,"['bottled water', 'beef']",T00279
6165,2655,01-07-2015,"['pork', 'rolls/buns']",T00280
2139,1587,01-07-2015,"['yogurt', 'hard cheese', 'whole milk', 'bottled beer', 'other vegetables']",T00281
2797,1762,01-07-2015,"['dessert', 'bottled beer']",T00282
6081,2632,01-07-2015,"['coffee', 'pork']",T00283
1378,1379,01-07-2015,"['other vegetables', 'chocolate', 'pip fruit']",T00284
4727,2270,01-07-2015,"['specialty bar', 'misc. beverages', 'whole milk', 'sausage', 'soda']",T00285
14117,4765,01-07-2015,"['curd', 'frankfurter']",T00286
3058,1827,01-07-2015,"['yogurt', 'soda', 'whole milk']",T00287
4860,2304,01-07-2015,"['whole milk', 'bottled water']",T00288
173,1049,01-07-2015,"['whole milk', 'butter']",T00289
13311,4560,01-07-2015,"['bottled beer', 'other vegetables']",T00290
249,1068,01-07-2015,"['pork', 'spread cheese']",T00291
838,1232,01-07-2015,"['bottled water', 'butter', 'grapes']",T00292
12583,4363,01-07-2015,"['soda', 'whole milk']",T00293
5487,2473,01-07-2015,"['other vegetables', 'chewing gum', 'meat']",T00294
8610,3311,01-07-2015,"['specialty cheese', 'frozen fish']",T00295
4421,2186,01-07-2015,"['zwieback', 'citrus fruit', 'other vegetables', 'other vegetables', 'brown bread', 'sugar', 'domestic eggs', 'frankfurter', 'whole milk']",T00296
12468,4333,01-07-2015,"['soft cheese', 'misc. beverages']",T00297
13834,4693,01-07-2015,"['whole milk', 'bottled beer']",T00298
12638,4376,01-08-2014,"['cereals', 'pork']",T00299
10041,3694,01-08-2014,"['dessert', 'whole milk', 'dish cleaner']",T00300
8092,3172,01-08-2014,"['whole milk', 'newspapers']",T00301
12627,4375,01-08-2014,"['domestic eggs', 'chicken']",T00302
2783,1759,01-08-2014,"['newspapers', 'pet care', 'dog food']",T00303
10750,3882,01-08-2014,"['sweet spreads', 'hard cheese']",T00304
11641,4130,01-08-2014,"['newspapers', 'canned beer', 'semi-finished bread', 'root vegetables']",T00305
7198,2933,01-08-2014,"['soda', 'seasonal products']",T00306
1059,1291,01-08-2014,"['mustard', 'onions', 'sugar', 'rolls/buns']",T00307
1511,1417,01-08-2014,"['frozen meals', 'yogurt']",T00308
5211,2399,01-08-2014,"['citrus fruit', 'chocolate']",T00309
6844,2834,01-08-2014,"['sliced cheese', 'shopping bags']",T00310
14724,4933,01-08-2014,"['whole milk', 'root vegetables']",T00311
10137,3722,01-08-2014,"['whole milk', 'syrup']",T00312
10855,3911,01-08-2014,"['margarine', 'other vegetables']",T00313
9789,3628,01-08-2014,"['female sanitary products', 'yogurt', 'curd', 'chocolate marshmallow', 'cream cheese ', 'nut snack']",T00314
10592,3841,01-08-2014,"['specialty cheese', 'brown bread']",T00315
8645,3322,01-08-2014,"['pip fruit', 'soda']",T00316
9385,3524,01-08-2014,"['margarine', 'frozen meals', 'semi-finished bread']",T00317
2877,1782,01-08-2015,"['napkins', 'coffee']",T00318
13868,4699,01-08-2015,"['whole milk', 'red/blush wine', 'rolls/buns', 'frankfurter']",T00319
3674,1990,01-08-2015,"['tropical fruit', 'citrus fruit']",T00320
8103,3176,01-08-2015,"['margarine', 'dish cleaner', 'citrus fruit']",T00321
14902,4982,01-08-2015,"['butter', 'canned beer', 'pastry']",T00322
2657,1729,01-08-2015,"['whole milk', 'frankfurter']",T00323
10702,3869,01-08-2015,"['herbs', 'sausage']",T00324
13813,4688,01-08-2015,"['white bread', 'other vegetables', 'canned beer', 'hard cheese', 'frozen vegetables', 'sausage', 'condensed milk', 'root vegetables']",T00325
13740,4671,01-08-2015,"['rolls/buns', 'whole milk', 'sausage']",T00326
9485,3549,01-08-2015,"['misc. beverages', 'beef']",T00327
1425,1391,01-08-2015,"['chocolate', 'yogurt']",T00328
14199,4787,01-08-2015,"['frozen vegetables', 'beef']",T00329
11338,4049,01-08-2015,"['chicken', 'semi-finished bread', 'citrus fruit', 'tropical fruit', 'specialty chocolate', 'whole milk', 'curd']",T00330
12223,4274,01-08-2015,"['whole milk', 'bottled beer']",T00331
9361,3518,01-08-2015,"['ham', 'brown bread']",T00332
6153,2652,01-08-2015,"['yogurt', 'kitchen towels', 'pastry']",T00333
4315,2158,01-08-2015,"['rolls/buns', 'pickled vegetables', 'whole milk', 'fruit/vegetable juice', 'whole milk', 'misc. beverages', 'sliced cheese', 'ham']",T00334
7683,3062,01-08-2015,"['rolls/buns', 'soda']",T00335
14656,4913,01-08-2015,"['brown bread', 'other vegetables', 'beverages']",T00336
10311,3764,01-08-2015,"['yogurt', 'other vegetables']",T00337
10327,3768,01-08-2015,"['bottled water', 'berries', 'root vegetables']",T00338
1903,1517,01-08-2015,"['rolls/buns', 'rolls/buns']",T00339
2485,1678,01-08-2015,"['onions', 'ham']",T00340
12513,4342,01-09-2014,"['ham', 'whole milk']",T00341
8266,3219,01-09-2014,"['waffles', 'tropical fruit']",T00342
8849,3382,01-09-2014,"['candy', 'rolls/buns', 'tropical fruit']",T00343
6591,2765,01-09-2014,"['whipped/sour cream', 'herbs', 'grapes']",T00344
6208,2666,01-09-2014,"['root vegetables', 'UHT-milk']",T00345
13167,4523,01-09-2014,"['domestic eggs', 'specialty chocolate']",T00346
13307,4559,01-09-2014,"['frozen vegetables', 'rolls/buns', 'frozen vegetables']",T00347
11021,3957,01-09-2014,"['salty snack', 'newspapers']",T00348
12235,4277,01-09-2014,"['pip fruit', 'butter']",T00349
6238,2675,01-09-2014,"['cling film/bags', 'UHT-milk']",T00350
9178,3475,01-09-2014,"['canned fish', 'whole milk']",T00351
10615,3846,01-09-2014,"['dental care', 'canned vegetables']",T00352
8937,3407,01-09-2014,"['cream cheese ', 'bottled water', 'bottled beer']",T00353
7181,2927,01-09-2014,"['popcorn', 'packaged fruit/vegetables']",T00354
12827,4432,01-09-2014,"['root vegetables', 'butter']",T00355
3064,1827,01-09-2014,"['soda', 'pastry']",T00356
5629,2515,01-09-2014,"['yogurt', 'misc. beverages', 'shopping bags']",T00357
1357,1374,01-09-2014,"['cream cheese ', 'bottled water', 'sugar']",T00358
11533,4104,01-09-2014,"['coffee', 'white wine']",T00359
10681,3863,01-09-2014,"['frozen dessert', 'turkey', 'shopping bags']",T00360
3081,1832,01-09-2014,"['specialty chocolate', 'spread cheese']",T00361
5689,2528,01-09-2014,"['butter', 'soda', 'sausage']",T00362
2142,1587,01-09-2014,"['skin care', 'hygiene articles']",T00363
1031,1284,01-09-2014,"['salty snack', 'soups']",T00364
11923,4201,01-09-2014,"['pip fruit', 'whipped/sour cream']",T00365
7991,3142,01-09-2014,"['cream cheese ', 'pasta']",T00366
5930,2591,01-09-2014,"['soda', 'beverages']",T00367
14749,4938,01-09-2014,"['dessert', 'brown bread']",T00368
667,1182,01-09-2015,"['soft cheese', 'whole milk', 'ice cream', 'shopping bags', 'hamburger meat']",T00369
7735,3078,01-09-2015,"['rolls/buns', 'oil', 'other vegetables']",T00370
4424,2186,01-09-2015,"['soda', 'whipped/sour cream']",T00371
9238,3489,01-09-2015,"['yogurt', 'specialty chocolate', 'misc. beverages', 'tropical fruit']",T00372
9426,3535,01-09-2015,"['soda', 'specialty chocolate', 'liquor (appetizer)', 'pip fruit']",T00373
13968,4725,01-09-2015,"['cat food', 'rolls/buns']",T00374
9967,3677,01-09-2015,"['turkey', 'domestic eggs']",T00375
